,English,German,Arabic
5331,the global voices podcast the world is talking i hope you ve been listening.,"die globalen Stimmen podcast die Welt spricht ich hoffe, Sie haben zugehört.",بودكاست الاصوات العالمية العالم يتكلم ارجو ان تكون مستمعا
5332,He sang a song.,Er sang ein Lied.,غنى أغنية.
5333,Do you want to play golf or not?,Willst du Golf spielen oder nicht?,اتريد لعب الغولف أم لا؟
5334,My uncle gave me a camera.,Mein Onkel gab mir eine Kamera.,أعطاني عمي كاميرا.
5335,I am an honest person.,Ich bin ein ehrlicher Mensch.,أنا إنسان صادق.
5336,It's new.,Es ist neu.,إنه جديد
5337,Can you sing the Argentine National Anthem?,Kannst du die argentinische Nationalhymne singen?,هل يمكنك غناء النشيد الوطني الارجنتيني؟
5338,I have an exam tomorrow.,Ich habe morgen eine Prüfung.,عندي اختبار في الغد.
5339,distracting the work of the central agency through social media and making false accusations against this governmental body causing problems in the country in abuse of the crisis that the country is going through rioting violence and calling for an illegal protest vandalism blocking traffic and starting fires in public and private properties risking the lives of citizens attacking security men and vandalizing ambulances and throwing stones on them and on security men.,"die Arbeit der Zentralagentur durch soziale Medien abzulenken und falsche Anschuldigungen gegen diese staatliche Körperschaft zu machen, die im Land Probleme beim Missbrauch der Krise verursacht, die das Land durch Aufruhr der Gewalt durchmacht und zu einem illegalen Protest-Vandalismus aufruft, der den Verkehr blockiert und Brände in öffentlichen und privaten Gebäuden startet, die das Leben von Bürgern riskieren, die Sicherheitsleute angreifen und Krankenwagen verwüsten und Steine auf sie und auf Sicherheitsleute werfen.",محاولاتهم للضغط على اعمال اللجنة المركزية لمعالجة اوضاع المقيمين بصورة غير قانونية المسيولية عن الدعوات المغرضة وما يتردد عبر مواقع التواصل الاجتماعي من اشاعات ظلم واجحاف لحقوقهم اثارة اعمال الشغب والعنف والدعوة للتجمهر والتظاهر غير القانوني وارتكابهم الاتلاف العمدي للمرافق والمركبات والممتلكات العامة الخاصة تعريض حياة المدنيين للخطر لتعدي على رجال الامن التعدي على اجهزة الامن وتخريب سيارات الاسعاف
5340,He went to the shop.,Er ging in den Laden.,ذهب إلى الدكان.
5341,You are not a doctor.,Sie sind kein Arzt.,إنك لست طبيباً.
5342,screen capture from turkmenistan state run tv.,Bildschirmaufnahme von turkmenistan state laufen tv.,صورة من التلفزيون الرسمي لتركمانستان
5343,You talk too much.,Du redest zu viel.,إنك تتكلم كثيراً.
5344,"When I woke us this morning, I didn't want to get out of bed.","Als ich uns heute Morgen geweckt habe, wollte ich nicht aus dem Bett.",عندما استيقظت هذا الصباح لم أرد القيام عن السرير.
5345,Do you have a larger size?,Haben Sie eine größere Größe?,أهناك مقاس أكبر؟
5346,You'll feel better.,Du wirst dich besser fühlen.,ستشعر أنك أفضل
5347,He likes to watch TV.,Er schaut gern fern.,يحب مشاهدة التلفاز.
5348,That's great!,Das ist toll!,هذا عظيم!
5349,Tom didn't want to go to the movie.,Tom wollte nicht in den Film gehen.,لم يرد توم الذهاب إلى السينما.
5350,He's at home right now.,Er ist gerade zu Hause.,إنه موجود في البيت الآن.
5351,Tom showed me the poems that he'd written when he was a teenager.,"Tom zeigte mir die Gedichte, die er als Teenager geschrieben hatte.",أراني توم القصائد التي كتبها حين كان مراهقا.
5352,Laughter is the best medicine.,Lachen ist die beste Medizin.,الضحك أفضل دواء.
5353,Are you new here?,Bist du neu hier?,هل أنت جديد هنا؟
5354,I don't believe it!,Ich glaub's nicht!,لا يمكنني تصديق ذلك!
5355,She had a happy childhood.,Sie hatte eine glückliche Kindheit.,أمضت طفولة سعيدة.
5356,You are the man I've been looking for.,"Du bist der Mann, nach dem ich gesucht habe.",أنت الرجل الذي كنت أبحث عنه.
5357,Tom wouldn't let Mary in.,Tom ließ Maria nicht rein.,توم لم يسمح لميري بالدخول.
5358,Look after Tom.,Pass auf Tom auf.,اعتني بتوم
5359,Be vigilant.,Sei wachsam.,توخى الحذر.
5360,I want to go to Kyoto.,Ich will nach Kyoto.,أريد الذهاب إلى كيوتو.
5361,mexican women are murdered each day global voices.,mexikanische Frauen werden jeden Tag globale Stimmen ermordet.,امراة مكسيكية تقتل كل يوم الاصوات العالمية
5362,Do you live here?,Wohnen Sie hier?,هل تسكن هنا؟
5363,Let's play cards.,Lass uns Karten spielen.,لنلعب الورق.
5364,syria free syria in sign language global voices.,Syria freie Syria in Gebärdensprache globale Stimmen.,سوريا الحرة في لغة الاشارة الاصوات العالمية
5365,Isn't there something you want to say to me?,Willst du mir nicht etwas sagen?,ألا يوجد ما تريد قوله لي؟
5366,Stand up!,Steh auf!,قف!
5367,What sort of information do you get on the Internet?,Welche Informationen erhalten Sie im Internet?,أيَّ نوع من المعلومات تجد في الإنترنت؟
5368,Yoga comes from India.,Yoga kommt aus Indien.,جاءت اليوغا من الهند.
5369,praying on the wreck of a soviet tank image by nasim fekrat used with permission.,Beten auf dem Wrack eines sowjetischen Panzers Bild von nasim fekrat mit Erlaubnis verwendet.,الصلاة على حطام دبابة سوفيتية تصوير نسيم فيكرات استخدمت باذن
5370,according to some comments some voting centers opened their doors to the first assistants on saturday at midnight and they continue welcoming citizens from inside the country and abroad.,Einigen Kommentaren zufolge öffneten einige Wahlzentren ihre Türen für die ersten Assistenten am Samstag um Mitternacht und sie empfangen weiterhin Bürger aus dem In- und Ausland.,وفقا لبعض التعليقات فتحت بعض مراكز الاقتراع ابوابها للمساعدين منتصف ليل يوم السبت واستمرت في استقبال المواطنين من داخل وخارج البلاد
5371,Why are you crying?,Warum weinst du?,لماذا تبكي؟
5372,"How old are you? ""I'm 16 years old.""","Wie alt bist du? ""Ich bin 16 Jahre alt.""","كم عمرك؟ ""ستة عشر عاماً"""
5373,acarvin found the permalink of what appears to be the st use of the sidibouzid hashtag by chady dec http bit ly my qun tunisia.,"Acarvin fand den Permalink von dem, was der erste Gebrauch des sidibouzid Hashtags von chady dec zu sein scheint http bit ly my qun tunisia.",وجدت رابطا دايما لما يتضح انه اول استخدام لوسم بواسطة مستخدم تويتر بتاريخ من ديسمبر كانون الاول
5374,I waited for you.,Ich habe auf dich gewartet.,إنتظرتك.
5375,He is getting better.,Es geht ihm besser.,بدأ يتحسن
5376,It was your own choice.,Es war deine eigene Wahl.,كان ذلك خيارك أنت.
5377,all winners received memorial diplomas and other prizes souvenirs with the competition logo or gift certificates for online stores.,Alle Gewinner erhielten Memorial Diplome und andere Preise Souvenirs mit dem Wettbewerbslogo oder Gutscheine für Online-Shops.,حصل جميع الفايزين على شهادات تذكارية وجوايز اخرى هدايا تذكارية مع شعار المسابقة او قسايم للتسوق عبرالانترنت
5378,There's a coffee shop in front of the station.,Es gibt ein Café vor dem Bahnhof.,يوجد مقهى أمام المحطة.
5379,"You don't smoke, do you?","Du rauchst doch nicht, oder?",إنك لا تدخن، صحيح؟
5380,"To the man who only has a hammer in the toolkit, every problem looks like a nail.","Für den Mann, der nur einen Hammer im Werkzeugkasten hat, sieht jedes Problem wie ein Nagel aus.",للرجل الذي ليس عنده إلا مطرقة في طقم أدواته، تبدو كل مشكلة كالمسمار.
5381,They say that he will never return.,"Sie sagen, dass er nie zurückkehren wird.",يقال أنه لن يعود.
5382,This tattoo is stupid.,Dieses Tattoo ist dumm.,هذا الوشم سخيف.
5383,Let's play volleyball.,Spielen wir Volleyball.,لنلعب كرة الطائرة.
5384,You can't finish this project.,Du kannst dieses Projekt nicht beenden.,لا يمكنك إنهاء هذا المشروع.
5385,I'm not feeling well.,Mir geht es nicht gut.,أشعر بوعكة.
5386,Where are the others?,Wo sind die anderen?,أين الآخرين؟
5387,I really enjoy coming here.,"Ich genieße es wirklich, hierher zu kommen.",كم أستمتع بالمجيء هنا!
5388,Your dog is here.,Dein Hund ist hier.,ها هو كلبك.
5389,the full programme is available on the congress website www congresoculturavivacomunitaria org es pt.,Das vollständige Programm ist auf der Website des Kongresses www congresoculturavivacomunitaria org es pt verfügbar.,البرنامج الكامل متاح على موقع الموتمر الاسبانية البرتغالية
5390,I'm afraid it's unavoidable.,"Ich fürchte, es ist unvermeidbar.",أخشى بأنه لا يمكن تجنبه.
5391,She has dry hair.,Sie hat trockenes Haar.,شعرها جاف.
5392,dissipating dissent morocco s stabilizing spatial tactics not really only online focused but well written and addressing a great amount of concerns.,"Dessipating dissent morocco s stabilisierende Raumtaktik nicht nur online fokussiert, sondern gut geschrieben und adressiert eine große Menge von Bedenken.",تفريق المعارضة تكتيكات المغرب لحفظ الاستقرار ليس فقط على الانترنت ولكن التقرير جيد ويمس العديد من الشيون
5393,zambia more officials than athletes travel to london olympics global voices.,Zambia mehr Beamte als Athleten reisen zu london olympics globalen Stimmen.,زامبيا عدد المسيولين في بعثة اولمبياد لندن اكثر من الرياضيين؟ الاصوات العالمية
5394,Who knows?,Wer weiß?,من يعلم؟
5395,She is very clever.,Sie ist sehr clever.,إنها ماهرة جداً.
5396,Take me with you.,Nimm mich mit.,خذني معك.
5397,Which one of those is yours?,Welcher von denen gehört dir?,أيّها لك؟
5398,That's very sweet of you.,Das ist sehr nett von dir.,هذا لطف منك.
5399,It makes me so happy.,Es macht mich so glücklich.,يجعلني سعيدة جدا.
5400,I am going to play tennis tomorrow.,Ich werde morgen Tennis spielen.,سألعب كرة المضرب غداً.
5401,The committee consists of four members.,Der Ausschuss besteht aus vier Mitgliedern.,يتألف المجلس من أربعة أعضاء.
5402,u s and south korea a show of force but running out of options global voices.,"U s und Südkorea eine Show der Kraft, aber läuft aus den Optionen globale Stimmen.",الولايات المتحدة وكوريا الجنوبية استعراض للقوى دون خيارات؟ الاصوات العالمية
5403,Raise your right hand.,Heben Sie Ihre rechte Hand.,اِرفع يدك اليمنى.
5404,We need a new truck.,Wir brauchen einen neuen Truck.,نحتاج شاحنة جديدة.
5405,It's well done.,Es ist gut gemacht.,حسنًا عُمِلَ.
5406,The first lesson is easy.,Die erste Lektion ist einfach.,الدرس الأول سهل.
5407,I don't need your help.,Ich brauche deine Hilfe nicht.,لا أحتاج إلى مساعدتك.
5408,Don't look at me!,Sieh mich nicht an!,لا تنظر إلي!
5409,I have no homework today.,Ich habe heute keine Hausaufgaben.,ليس عندي وظيفة اليوم.
5410,The box is almost empty.,Die Box ist fast leer.,الصندوق فارغ تقريبا
5411,save the children launched a campaign to stop the crimes against syria s children the response was phenomenal resulting in worldwide attention to the atrocities that children are living through in syria this was our fastest growing campaign with thousands of people signing up every day.,"außer den Kindern eine Kampagne gestartet, um die Verbrechen gegen Syrias Kinder zu stoppen die Antwort war phänomenal, was in der weltweiten Aufmerksamkeit auf die Gräueltaten, die Kinder leben durch in Syria dies war unsere am schnellsten wachsende Kampagne mit Tausenden von Menschen, die sich jeden Tag.",اطلقت منظمة انقذوا الاطفال حملة من اجل ايقاف الجرايم ضد اطفال سوريا التجاوب مع الحملة كان استثناييا حيث لفت انتباه العالم للفظاعة التي يتعرض لها الاطفال في سوريا كانت هذه حملتنا الاسرع نموا بوجود الالاف من الناس ينضمون لها يوميا
5412,I think Tom is right.,"Ich glaube, Tom hat Recht.",أظن أن توم على حق.
5413,Write your address here.,Schreib deine Adresse hier.,اِكتب عنوانك هنا.
5414,medigo a health specialized platform that connects patients and physicians all over the world has completed a comparative global study on life expectancy.,"medigo eine gesundheitsspezifische Plattform, die Patienten und Ärzte auf der ganzen Welt verbindet, hat eine vergleichende globale Studie zur Lebenserwartung abgeschlossen.",انهت منصة المختصة في مجال الصحة والتي تقيم تواصلا ما بين المرضى والاطباء في جميع انحاء العالم دراسة مقارنة عالمية عن متوسط الاعمار المتوقع
5415,You can put it anywhere.,Du kannst es überall hinstellen.,بإمكانك وضعها في أي مكان.
5416,ivan sigal is the executive director of global voices and he describes why it was important for the academic group to join in at the event.,"ivan sigal ist Geschäftsführer globaler Stimmen und er beschreibt, warum es für die akademische Gruppe wichtig war, an der Veranstaltung teilzunehmen.",ايفان سيجال المدير التنفيذي يشرح لماذا يجب على الجامعات المشاركة في هذا الحدث
5417,I went to the wrong address.,Ich bin an die falsche Adresse gegangen.,ذهبت إلى العنوان الخطأ.
5418,You can't afford to neglect your health.,"Du kannst es dir nicht leisten, deine Gesundheit zu vernachlässigen.",لا يسعك أن تهمل صحتك.
5419,I worked hard in order to support my family.,"Ich arbeitete hart, um meine Familie zu unterstützen.",عملت عملا شاقا لكي أدعم عائلتي.
5420,These are birds.,Das sind Vögel.,هذه عصافير.
5421,Why didn't you tell me there was a meeting today?,"Warum hast du mir nicht gesagt, dass es heute ein Treffen gibt?",لمَ لمْ تخبرني بأنّ اجتماعًا عُقِدَ اليوم؟
5422,Let me know when you get that report back from Tom.,"Sagen Sie mir Bescheid, wenn Sie den Bericht von Tom bekommen.",دعني أعرف عندما تحصل على ذلك التقرير من توم.
5423,Let's agree to disagree.,"Stimmen wir zu, dass wir nicht einverstanden sind.",فالنتفق على أن نختلف.
5424,You're very perceptive.,Du bist sehr scharfsinnig.,أنت دقيق الملاحظة.
5425,Did you go to school today?,Bist du heute zur Schule gegangen?,أذهبت إلى المدرسة اليوم؟
5426,It was a computer error.,Es war ein Computerfehler.,كان خطأ حاسوبيّ.
5427,this post is part of our international relations security coverage.,Dieser Beitrag ist Teil unserer internationalen Sicherheitsberichterstattung.,هذا المقال جزء من تغطيتنا الخاصة العلاقات الدولية وشيون الامن
5428,This book belongs to the library.,Dieses Buch gehört zur Bibliothek.,هذا الكتاب ملكٌ للمكتبة.
5429,Health is more important than wealth.,Gesundheit ist wichtiger als Reichtum.,الصحة أهم من المال.
5430,Music is a universal language.,Musik ist eine universelle Sprache.,الموسيقى لغة عالمية.
5431,This bird cannot fly.,Dieser Vogel kann nicht fliegen.,هذا الطائر لا يمكنه التحليق.
5432,How old is your sister?,Wie alt ist deine Schwester?,كم عمر أختك ؟
5433,I slapped his face.,Ich schlug ihm ins Gesicht.,صفعته على وجهه.
5434,What time does the movie start?,Wann beginnt der Film?,متى يبدأ الفلم؟
5435,I know who your father is.,"Ich weiß, wer dein Vater ist.",أنا أعرف من هو والدك.
5436,Don't worry about my dog. He won't do you any harm.,"Mach dir keine Sorgen um meinen Hund, er wird dir nichts antun.",لا تقلق بشأن كلبي. هو لن يسبب لك أي ضرر.
5437,The world doesn't revolve around you.,Die Welt dreht sich nicht um dich.,العالم لا يتمحور حولك.
5438,Is this your car?,Ist das dein Auto?,أهذه سيارتك؟
5439,beginning with the round of microgrant funding rising voices has developed a new platform where applicants can publicly share their ideas with the broader community this open process can enable greater opportunities to seek feedback and to help facilitate connections between groups located in the same geographic area or working around the same issue we feel that this new way of sharing ideas will have a positive effect on the global community that shares the common goal of a more inclusive and diverse digital online space.,"beginnend mit der Runde der Mikroförderung hat steigende Stimmen eine neue Plattform entwickelt, auf der Bewerber ihre Ideen öffentlich mit der breiteren Gemeinschaft teilen können. Dieser offene Prozess kann größere Möglichkeiten bieten, Feedback zu suchen und die Verbindungen zwischen Gruppen im gleichen geografischen Raum zu erleichtern oder sich um das gleiche Thema zu kümmern.Wir glauben, dass diese neue Art des Austauschs von Ideen positive Auswirkungen auf die globale Gemeinschaft haben wird, die das gemeinsame Ziel eines integrativeren und vielfältigen digitalen Online-Raumes teilt.",بداية من دورة عام للمنح الصغيرة طورت الاصوات الصاعدة منصة جديدة يمكن من خلالها نشر ومشاركة المشاركين لافكارهم على نطاق واسع تتيح هذه العملية المفتوحة والشفافة فرص اكبر للحصول على اراء وردود افعال والمساعدة في تسهيل الربط بين المجموعات التي تقع في نفس النطاق الجغرافي او تلك التي تعمل على نفس القضية والموضوع نومن بالتاثير الايجابي لهذه الطريقة الجديدة لمشاركة الافكار على المجتمع العالمي الذي يشارك هدف مشترك لفضاء رقمي على الانترنت شامل ومتنوع
5440,I can hardly walk.,Ich kann kaum laufen.,بالكاد يمكنني المشي.
5441,You should make sure of the facts before you write something.,"Stellen Sie sicher, dass die Fakten, bevor Sie etwas schreiben.",قبل أن تكتب شيئًا، ينبغي أن تتأكد من الحقائق.
5442,Tom's speech was excellent.,Toms Rede war ausgezeichnet.,كانت خطبة توم ممتازة.
5443,russia crowdmapping corruption with bribr mobile app global voices.,russland crowdmapping Korruption mit bribr mobile app globale Stimmen.,روسيا رصد ورسم خريطة للفساد باستخدام بريبر الاصوات العالمية
5444,Let's share the expenses.,Teilen wir die Ausgaben.,دعينا نتقاسم النفقات.
5445,this ip address is owned by the ste syrian telecommunications establishment and is registered in damascus.,Diese IP-Adresse befindet sich im Eigentum der stesyrischen Telekommunikationseinrichtung und ist in Damascus registriert.,حيث يتصل بالادارة عن بعد والخادم المتحكم على وتعود ملكية هذا العنوان لموسسة الاتصالات السورية والمسجلة في دمشق
5446,He will arrive in Paris tomorrow.,Er wird morgen in Paris ankommen.,سوف يصل الى باريس غداً.
5447,It is impossible to master English in a year or so.,"Es ist unmöglich, Englisch in einem Jahr oder so zu beherrschen.",من المستحيل إتقان اللغة الإنجليزية خلال عامٍ واحد أو ما يقارب ذلك.
5448,censorship.,Zensur.,الحجب
5449,iranian bloggers political and civil society activists co signed a letter last week warning that the life of publisher physicist and blogger mehdi khazali is in grave danger after he has been on hunger strike for more than days.,"iranische Blogger politische und zivilgesellschaftliche Aktivisten haben letzte Woche einen Brief unterzeichnet, in dem sie darauf hingewiesen haben, dass das Leben des Publishers Physiker und Bloggers Mehdi Khazali nach mehr als Tagen Hungerstreik in großer Gefahr ist.",وقع خمسون وثلاثماية مدون وناشط سياسي ومدني ايراني عريضة الاسبوع الماضي محذرين ان حياة الناشر والفيزيايي والمدون مهدي خزعلي في خطر شديد بعد اضرابه عن الطعام لمدة تتجاوز التسعين يوما
5450,Are you meeting someone here?,Triffst du hier jemanden?,هل ستلتقي بأحد هنا؟
5451,yolanda maturana s postcard illustrated by catalina uribe and used with permission.,yolanda maturana s Postkarte illustriert von catalina uribe und mit Genehmigung verwendet.,البطاقة التعريفية ليولاندا ماتورانا رسمها كاتالينا اوريب تم النشر بعد الموافقة
5452,how do you beat the heat.,Wie schlägt man die Hitze?,ماذا عنك؟ كيف تتغلب على الحر؟
5453,I don't have an excuse.,Ich habe keine Ausrede.,ليس لديّ عذر.
5454,I think I can run as fast as Tom.,"Ich glaube, ich kann so schnell laufen wie Tom.",أظن أنه يمكنني الركض بمثل سرعة توم.
5455,The nurse gave Tom a flu shot.,Die Krankenschwester gab Tom einen Grippeschuss.,أعطت الممرضة توم لقاح الانفلونزا.
5456,That's good to know.,Gut zu wissen.,من الجيد معرفة ذلك
5457,He was accused of stealing dinosaur bones.,"Er wurde beschuldigt, Dinosaurierknochen gestohlen zu haben.",لقد أُتُهم بسرقة عظام الديناصورات.
5458,It appears to me that you are all mistaken.,"Es scheint mir, dass Sie sich alle irren.",يبدو لي أن كلكم مخطئون.
5459,I'm very hungry now.,Ich bin jetzt sehr hungrig.,إنني في غاية الجوع الآن.
5460,I know you like coffee.,"Ich weiß, du magst Kaffee.",أعلم أنّك تحبّين القهوة.
5461,I suppose you're hungry.,"Ich nehme an, du hast Hunger.",أعتقد أنك جوعان.
5462,I'll miss you.,Ich werde dich vermissen.,سأفتقدك.
5463,He drank a little.,Er hat ein wenig getrunken.,شرب القليل.
5464,My brother uses this bike.,Mein Bruder benutzt dieses Fahrrad.,أخي يركب هذه الدراجة.
5465,Tom spent the entire afternoon with Mary.,Tom verbrachte den ganzen Nachmittag mit Maria.,توم أمضى فترة بعد الظهر بأكملها مع ماري.
5466,Not many students attended the meeting.,Nicht viele Studenten nahmen an dem Treffen teil.,لم يحضر الاجتماع طلاب كثر.
5467,I was hoping you'd volunteer.,"Ich hatte gehofft, du würdest dich freiwillig melden.",كُنتُ أتمنى أن تتطوّع.
5468,I'll try to shape my ideas into a book.,"Ich werde versuchen, meine Ideen zu einem Buch zu machen.",سأحاول وضع أفكاري في كتاب.
5469,She accomplished the task through sheer will.,Sie erfüllte die Aufgabe durch bloßen Willen.,أنجزت المهمة بقوة إرادتها.
5470,They became man and wife.,Sie wurden Mann und Frau.,أصبحا زوجاً و زوجة.
5471,below is a selection of discussions about the southern metropolis report zh on the skyscraper story from sina weibo comment thread zh.,unten ist eine Auswahl von Diskussionen über die südliche Metropole Bericht zh über den Wolkenkratzer Geschichte aus Sina weibo Kommentar Thread zh.,بالاسفل مجموعة مختارة من النقاشات وردود الافعال حول تقرير جريدة ساوثيرن ميتروبوليس بالصينية من موقع سينا ويبو بالصينية
5472,Tom isn't lonely now.,Tom ist jetzt nicht einsam.,توم ليس وحيداً الآن.
5473,nawaat all those who have been arrested after the events of august the th are now released sidibouzid.,"Nawaat all diejenigen, die nach den Ereignissen des Augustes der th verhaftet wurden, sind jetzt freigelassen sidibouzid.",في هذه الاثناء ابلغ كبير محللي شبكة الاذاعة العامة الوطنية اندي كارفن
5474,Who am I talking with?,Mit wem spreche ich?,مع من أتكلم؟
5475,I'd never hit a woman.,Ich würde nie eine Frau schlagen.,لن أضرب امرأة أبدا.
5476,thumbnail and featured image show bharatanatyam dancer rama vaidyanathan image by flickr user dalbera cc by.,thumbnail und featured image show bharatanatyam tänzer rama vaidyanathan image by flickr user dalbera cc by.,الصورة المصغرة المرفقة مع المقال تظهر راما فايدياناثان راقصة هرت ناتيام تصوير دالبيرا عبر فليكر تحت رخصة المشاع الابداعي
5477,the beauty of mount everest at night global voices.,die Schönheit des Mount everest in der Nacht globale Stimmen.,جمال جبل ايفرست في الليل الاصوات العالمية
5478,I need to concentrate.,Ich muss mich konzentrieren.,أحتاج إلى التركيز.
5479,I am from China.,Ich komme aus China.,أنا من الصين.
5480,Please turn the page.,Bitte drehen Sie die Seite.,من فضلك إقلب الصفحة.
5481,This was his one and only hope.,Das war seine einzige Hoffnung.,كان ذلك أمله الوحيد و الأخير.
5482,In Japan a new school year starts in April.,In Japan beginnt im April ein neues Schuljahr.,في اليابان السنة الدراسية الجديدة تبدأ في أبريل.
5483,I'm leaving you tomorrow.,Ich verlasse dich morgen.,سأتركك غداً.
5484,I went to Europe once.,Ich war einmal in Europa.,ذهبت إلى أوروبا مرة.
5485,winners will be announced by march subject to change based on the number of proposals to be reviewed.,Die Gewinner werden im März vorbehaltlich einer Änderung auf der Grundlage der Anzahl der zu überprüfenden Vorschläge bekannt gegeben.,يتم الاعلان عن الفايزين يوم من مارس اذار هذا الميعاد عرضة للتغيير وفقا لعدد المقترحات والمشاريع المقدمة لمراجعتها
5486,Trees are planted along the street.,Bäume werden entlang der Straße gepflanzt.,زُرِعَت الأشجار بجانب الطريق.
5487,I have to go to sleep.,Ich muss schlafen.,عليّ أن أنام.
5488,I must help my mother.,Ich muss meiner Mutter helfen.,علي أن أساعد أمي.
5489,"Hurry up, or you'll miss your plane.","Beeil dich, sonst verpasst du dein Flugzeug.",أسرع و إلا فاتتك الطائرة.
5490,"Is he speaking English, French, or German?","Spricht er Englisch, Französisch oder Deutsch?","هل هو يتحدث الإنجليزية, الفرنسية أو الألمانية؟"
5491,"Because he's sick, he can't come.","Weil er krank ist, kann er nicht kommen.",لن يكون بوسعه القدوم بسبب مرضه.
5492,I don't want to go shopping by myself.,Ich will nicht alleine einkaufen gehen.,لا أريد التّسوّق بمفردي.
5493,I have a book.,Ich habe ein Buch.,عندي كتاب.
5494,I was caught in a traffic jam.,Ich war in einem Stau gefangen.,لقد علقت في ازدحام مروري.
5495,He was very patient.,Er war sehr geduldig.,كان صبوراً جداً.
5496,School begins at 8:30 a.m.,Die Schule beginnt um 8:30 Uhr.,يبدأ الدوام الدراسي في الثامنة و النصف.
5497,My grandfather is in his nineties.,Mein Großvater ist in seinen Neunzigern.,جدي في التسعينات من عمره.
5498,I see.,Verstehe.,انا اري
5499,There is a fence around the house.,Es gibt einen Zaun um das Haus herum.,هناك سياج حول المنزل.
5500,They've already eaten.,Sie haben schon gegessen.,قد سبق وأكلوا.
5501,I was in London most of the summer.,Ich war den größten Teil des Sommers in London.,كنت في لندن معظم الصيف.
5502,A rabbit has long ears.,Ein Kaninchen hat lange Ohren.,للأرنب أذنان طويلتان.
5503,I'll go to France to study painting.,"Ich gehe nach Frankreich, um Malerei zu studieren.",سأذهب إلى فرنسا لأدرس الرسم.
5504,Don't you get bored when you're alone?,"Langweilst du dich nicht, wenn du allein bist?",ألا تحس بالملل عندما تكون وحيداً؟
5505,How beautiful this flower is!,Wie schön diese Blume ist!,ما أجمل هذه الزهرة!
5506,I don't believe you. You're always lying.,"Ich glaube dir nicht, du lügst immer.","أنا لا أصدقُكِ, أنتِ دائماً تكذبين."
5507,It was probably not true.,Es war wahrscheinlich nicht wahr.,كانت على الأرجح غير صحيحة.
5508,I'm not going to tell Tom.,Ich werde es Tom nicht sagen.,أنا لن أخبر توم.
5509,How old do you think she is?,"Was glaubst du, wie alt sie ist?",ما عمرها برأيك؟
5510,I take a bath almost every day.,Ich nehme fast jeden Tag ein Bad.,أستحم كل يوم تقريباً.
5511,Do you love each other very much?,Liebst du dich sehr?,هل تحبان بعضكما البعض بشدة؟
5512,Mathematics is my favorite subject.,Mathematik ist mein Lieblingsfach.,الرياضيات مادّتي المفضّلة.
5513,I need more time to finish my homework.,"Ich brauche mehr Zeit, um meine Hausaufgaben zu beenden.",أحتاج لمزيد من الوقت لأنجز فروضي.
5514,There are fifty members in this club.,Es gibt fünfzig Mitglieder in diesem Club.,في هذا النادي خمسون عضوا.
5515,No one can help me.,Niemand kann mir helfen.,لا يستطيع أحدٌ مساعدتي.
5516,I dialed 911.,Ich habe den Notruf gewählt.,اتّصلت ب‍ 911.
5517,We are not Americans.,Wir sind keine Amerikaner.,نحن لسنا أمريكيين.
5518,"Even though I felt that there was something strange, I just didn't know what it was.","Obwohl ich fühlte, dass es etwas Seltsames gab, wusste ich einfach nicht, was es war.",بالرغم من أنني أحسست بأن هناك شيئاً غريباً ، لم أعرف بالتحديد ما هو.
5519,I don't have anything to give you.,Ich habe dir nichts zu geben.,لا شيء معي لأعطيك إياه.
5520,Here comes the bus!,Da kommt der Bus!,ها قد أتى الباص!
5521,What are you talking about?,Wovon reden Sie?,ما الذي تتحدث عنه؟
5522,I trust you.,Ich vertraue dir.,أثق بك.
5523,remembering a jailed opposition leader.,Ich erinnere mich an einen inhaftierten Oppositionsführer.,استحضار قيادي معارض مسجون
5524,I always carry a bottle of mineral water with me.,Ich trage immer eine Flasche Mineralwasser bei mir.,أحمل معي قنينة مياه معدنيّة دومًا.
5525,Tom got out of the taxi.,Tom stieg aus dem Taxi.,خرج توم من التاكسي.
5526,The girl released the birds from the cage.,Das Mädchen entließ die Vögel aus dem Käfig.,الفتاة حررت الطيور من القفص.
5527,The king governed the country.,Der König regierte das Land.,حكم الملك البلد.
5528,How can you say that?,Wie kannst du das sagen?,كيف لك أن تقول ذلك؟
5529,Let's play something.,Lass uns etwas spielen.,هيا لنلعب.
5530,The police are after me.,Die Polizei ist hinter mir her.,الشرطة تبحث عنّي.
5531,It may rain soon.,Es könnte bald regnen.,ربما ستمطرُ بعدَ قليل.
5532,protect your privacy stop online tracking.,schützen Sie Ihre Privatsphäre stoppen Online-Tracking.,احمي خصوصيتك اوقف التعقب عبر الانترنت
5533,He is not available.,Er ist nicht verfügbar.,ليس متاحاً.
5534,When did you see the film?,Wann haben Sie den Film gesehen?,متى رأيت الفلم؟
5535,He is an ace pitcher.,Er ist ein Ass-Pitcher.,هو رامي اساسي في رياضة البيسبول.
5536,She came up to me and asked my name.,Sie kam zu mir und fragte meinen Namen.,أتتني وسألتني عن اسمي.
5537,Where is his family?,Wo ist seine Familie?,أين عائلته؟
5538,We just need a little time.,Wir brauchen nur etwas Zeit.,نحتاج فقط قليلا من الوقت.
5539,We are facing a violent crisis.,Wir stehen vor einer gewaltsamen Krise.,إننا نواجه أزمة ضخمة.
5540,I'll stay until Tom leaves.,"Ich bleibe, bis Tom geht.",سأظل حتى يرحل توم.
5541,Look at him.,Sieh ihn dir an.,انظر إليه
